Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
26/05/2020,England,Pillar 1,544,151462
26/05/2020,Northern Ireland,Pillar 1,13,4655
26/05/2020,Scotland,Pillar 1,48,15313
26/05/2020,Wales,Pillar 1,Not available,Not available
26/05/2020,England,Pillar 2,921,60880
26/05/2020,Northern Ireland,Pillar 2,15,694
26/05/2020,Scotland,Pillar 2,29,2151
26/05/2020,Wales,Pillar 2,Not available,Not available
27/05/2020,England,Pillar 1,545,152007
27/05/2020,Northern Ireland,Pillar 1,15,4670
27/05/2020,Scotland,Pillar 1,47,15360
27/05/2020,Wales,Pillar 1,Not available,Not available
27/05/2020,England,Pillar 2,1069,61949
27/05/2020,Northern Ireland,Pillar 2,12,706
27/05/2020,Scotland,Pillar 2,19,2170
27/05/2020,Wales,Pillar 2,Not available,Not available
28/05/2020,England,Pillar 1,466,152473
28/05/2020,Northern Ireland,Pillar 1,17,4687
28/05/2020,Scotland,Pillar 1,34,15394
28/05/2020,Wales,Pillar 1,Not available,Not available
28/05/2020,England,Pillar 2,1108,63057
28/05/2020,Northern Ireland,Pillar 2,12,718
28/05/2020,Scotland,Pillar 2,21,2191
28/05/2020,Wales,Pillar 2,Not available,Not available
29/05/2020,England,Pillar 1,443,152916
29/05/2020,Northern Ireland,Pillar 1,10,4697
29/05/2020,Scotland,Pillar 1,17,15411
29/05/2020,Wales,Pillar 1,Not available,Not available
29/05/2020,England,Pillar 2,928,63985
29/05/2020,Northern Ireland,Pillar 2,10,728
29/05/2020,Scotland,Pillar 2,12,2203
29/05/2020,Wales,Pillar 2,Not available,Not available
30/05/2020,England,Pillar 1,350,153266
30/05/2020,Northern Ireland,Pillar 1,6,4703
30/05/2020,Scotland,Pillar 1,25,15436
30/05/2020,Wales,Pillar 1,Not available,Not available
30/05/2020,England,Pillar 2,650,64635
30/05/2020,Northern Ireland,Pillar 2,4,732
30/05/2020,Scotland,Pillar 2,16,2219
30/05/2020,Wales,Pillar 2,Not available,Not available
31/05/2020,England,Pillar 1,310,153576
31/05/2020,Northern Ireland,Pillar 1,10,4713
31/05/2020,Scotland,Pillar 1,15,15451
31/05/2020,Wales,Pillar 1,Not available,Not available
31/05/2020,England,Pillar 2,675,65310
31/05/2020,Northern Ireland,Pillar 2,17,749
31/05/2020,Scotland,Pillar 2,7,2226
31/05/2020,Wales,Pillar 2,Not available,Not available
01/06/2020,England,Pillar 1,451,154027
01/06/2020,Northern Ireland,Pillar 1,11,4724
01/06/2020,Scotland,Pillar 1,25,15476
01/06/2020,Wales,Pillar 1,Not available,Not available
01/06/2020,England,Pillar 2,861,66171
01/06/2020,Northern Ireland,Pillar 2,9,758
01/06/2020,Scotland,Pillar 2,13,2239
01/06/2020,Wales,Pillar 2,Not available,Not available
02/06/2020,England,Pillar 1,482,154509
02/06/2020,Northern Ireland,Pillar 1,15,4739
02/06/2020,Scotland,Pillar 1,33,15509
02/06/2020,Wales,Pillar 1,Not available,Not available
02/06/2020,England,Pillar 2,866,67037
02/06/2020,Northern Ireland,Pillar 2,1,759
02/06/2020,Scotland,Pillar 2,12,2251
02/06/2020,Wales,Pillar 2,Not available,Not available
03/06/2020,England,Pillar 1,438,154947
03/06/2020,Northern Ireland,Pillar 1,3,4742
03/06/2020,Scotland,Pillar 1,16,15525
03/06/2020,Wales,Pillar 1,Not available,Not available
03/06/2020,England,Pillar 2,795,67832
03/06/2020,Northern Ireland,Pillar 2,6,765
03/06/2020,Scotland,Pillar 2,19,2270
03/06/2020,Wales,Pillar 2,Not available,Not available
04/06/2020,England,Pillar 1,312,155259
04/06/2020,Northern Ireland,Pillar 1,4,4746
04/06/2020,Scotland,Pillar 1,30,15555
04/06/2020,Wales,Pillar 1,Not available,Not available
04/06/2020,England,Pillar 2,825,68657
04/06/2020,Northern Ireland,Pillar 2,4,769
04/06/2020,Scotland,Pillar 2,5,2275
04/06/2020,Wales,Pillar 2,Not available,Not available
05/06/2020,England,Pillar 1,320,155579
05/06/2020,Northern Ireland,Pillar 1,17,4763
05/06/2020,Scotland,Pillar 1,18,15573
05/06/2020,Wales,Pillar 1,Not available,Not available
05/06/2020,England,Pillar 2,694,69351
05/06/2020,Northern Ireland,Pillar 2,4,773
05/06/2020,Scotland,Pillar 2,6,2281
05/06/2020,Wales,Pillar 2,Not available,Not available
06/06/2020,England,Pillar 1,207,155786
06/06/2020,Northern Ireland,Pillar 1,3,4766
06/06/2020,Scotland,Pillar 1,15,15588
06/06/2020,Wales,Pillar 1,Not available,Not available
06/06/2020,England,Pillar 2,508,69859
06/06/2020,Northern Ireland,Pillar 2,4,777
06/06/2020,Scotland,Pillar 2,7,2288
06/06/2020,Wales,Pillar 2,Not available,Not available
07/06/2020,England,Pillar 1,200,155986
07/06/2020,Northern Ireland,Pillar 1,2,4768
07/06/2020,Scotland,Pillar 1,8,15596
07/06/2020,Wales,Pillar 1,Not available,Not available
07/06/2020,England,Pillar 2,462,70321
07/06/2020,Northern Ireland,Pillar 2,3,780
07/06/2020,Scotland,Pillar 2,9,2297
07/06/2020,Wales,Pillar 2,Not available,Not available
08/06/2020,England,Pillar 1,300,156286
08/06/2020,Northern Ireland,Pillar 1,9,4777
08/06/2020,Scotland,Pillar 1,8,15604
08/06/2020,Wales,Pillar 1,Not available,Not available
08/06/2020,England,Pillar 2,692,71013
08/06/2020,Northern Ireland,Pillar 2,5,785
08/06/2020,Scotland,Pillar 2,10,2307
08/06/2020,Wales,Pillar 2,Not available,Not available
09/06/2020,England,Pillar 1,308,156594
09/06/2020,Northern Ireland,Pillar 1,10,4787
09/06/2020,Scotland,Pillar 1,18,15622
09/06/2020,Wales,Pillar 1,Not available,Not available
09/06/2020,England,Pillar 2,750,71763
09/06/2020,Northern Ireland,Pillar 2,2,787
09/06/2020,Scotland,Pillar 2,9,2316
09/06/2020,Wales,Pillar 2,Not available,Not available
10/06/2020,England,Pillar 1,364,156958
10/06/2020,Northern Ireland,Pillar 1,16,4803
10/06/2020,Scotland,Pillar 1,24,15646
10/06/2020,Wales,Pillar 1,Not available,Not available
10/06/2020,England,Pillar 2,724,72487
10/06/2020,Northern Ireland,Pillar 2,1,788
10/06/2020,Scotland,Pillar 2,5,2321
10/06/2020,Wales,Pillar 2,Not available,Not available
11/06/2020,England,Pillar 1,275,157233
11/06/2020,Northern Ireland,Pillar 1,8,4811
11/06/2020,Scotland,Pillar 1,17,15663
11/06/2020,Wales,Pillar 1,Not available,Not available
11/06/2020,England,Pillar 2,645,73132
11/06/2020,Northern Ireland,Pillar 2,2,790
11/06/2020,Scotland,Pillar 2,4,2325
11/06/2020,Wales,Pillar 2,Not available,Not available
12/06/2020,England,Pillar 1,267,157500
12/06/2020,Northern Ireland,Pillar 1,5,4816
12/06/2020,Scotland,Pillar 1,21,15684
12/06/2020,Wales,Pillar 1,Not available,Not available
12/06/2020,England,Pillar 2,671,73803
12/06/2020,Northern Ireland,Pillar 2,6,796
12/06/2020,Scotland,Pillar 2,9,2334
12/06/2020,Wales,Pillar 2,Not available,Not available
13/06/2020,England,Pillar 1,258,157758
13/06/2020,Northern Ireland,Pillar 1,6,4822
13/06/2020,Scotland,Pillar 1,17,15701
13/06/2020,Wales,Pillar 1,Not available,Not available
13/06/2020,England,Pillar 2,529,74332
13/06/2020,Northern Ireland,Pillar 2,4,800
13/06/2020,Scotland,Pillar 2,6,2340
13/06/2020,Wales,Pillar 2,Not available,Not available
14/06/2020,England,Pillar 1,209,157967
14/06/2020,Northern Ireland,Pillar 1,2,4824
14/06/2020,Scotland,Pillar 1,6,15707
14/06/2020,Wales,Pillar 1,Not available,Not available
14/06/2020,England,Pillar 2,538,74870
14/06/2020,Northern Ireland,Pillar 2,6,806
14/06/2020,Scotland,Pillar 2,7,2347
14/06/2020,Wales,Pillar 2,Not available,Not available
15/06/2020,England,Pillar 1,279,158246
15/06/2020,Northern Ireland,Pillar 1,7,4831
15/06/2020,Scotland,Pillar 1,15,15722
15/06/2020,Wales,Pillar 1,Not available,Not available
15/06/2020,England,Pillar 2,658,75528
15/06/2020,Northern Ireland,Pillar 2,10,816
15/06/2020,Scotland,Pillar 2,6,2353
15/06/2020,Wales,Pillar 2,Not available,Not available
16/06/2020,England,Pillar 1,307,158553
16/06/2020,Northern Ireland,Pillar 1,7,4838
16/06/2020,Scotland,Pillar 1,10,15732
16/06/2020,Wales,Pillar 1,Not available,Not available
16/06/2020,England,Pillar 2,685,76213
16/06/2020,Northern Ireland,Pillar 2,3,819
16/06/2020,Scotland,Pillar 2,7,2360
16/06/2020,Wales,Pillar 2,Not available,Not available
17/06/2020,England,Pillar 1,286,158839
17/06/2020,Northern Ireland,Pillar 1,3,4841
17/06/2020,Scotland,Pillar 1,22,15754
17/06/2020,Wales,Pillar 1,Not available,Not available
17/06/2020,England,Pillar 2,625,76838
17/06/2020,Northern Ireland,Pillar 2,4,823
17/06/2020,Scotland,Pillar 2,11,2371
17/06/2020,Wales,Pillar 2,Not available,Not available
18/06/2020,England,Pillar 1,245,159084
18/06/2020,Northern Ireland,Pillar 1,0,4841
18/06/2020,Scotland,Pillar 1,9,15763
18/06/2020,Wales,Pillar 1,Not available,Not available
18/06/2020,England,Pillar 2,701,77539
18/06/2020,Northern Ireland,Pillar 2,8,831
18/06/2020,Scotland,Pillar 2,5,2376
18/06/2020,Wales,Pillar 2,Not available,Not available
19/06/2020,England,Pillar 1,226,159310
19/06/2020,Northern Ireland,Pillar 1,5,4846
19/06/2020,Scotland,Pillar 1,15,15778
19/06/2020,Wales,Pillar 1,Not available,Not available
19/06/2020,England,Pillar 2,585,78124
19/06/2020,Northern Ireland,Pillar 2,7,838
19/06/2020,Scotland,Pillar 2,8,2384
19/06/2020,Wales,Pillar 2,Not available,Not available
20/06/2020,England,Pillar 1,155,159465
20/06/2020,Northern Ireland,Pillar 1,0,4846
20/06/2020,Scotland,Pillar 1,3,15781
20/06/2020,Wales,Pillar 1,Not available,Not available
20/06/2020,England,Pillar 2,474,78598
20/06/2020,Northern Ireland,Pillar 2,4,842
20/06/2020,Scotland,Pillar 2,3,2387
20/06/2020,Wales,Pillar 2,Not available,Not available
21/06/2020,England,Pillar 1,122,159587
21/06/2020,Northern Ireland,Pillar 1,2,4848
21/06/2020,Scotland,Pillar 1,7,15788
21/06/2020,Wales,Pillar 1,Not available,Not available
21/06/2020,England,Pillar 2,429,79027
21/06/2020,Northern Ireland,Pillar 2,0,842
21/06/2020,Scotland,Pillar 2,2,2389
21/06/2020,Wales,Pillar 2,Not available,Not available
22/06/2020,England,Pillar 1,204,159791
22/06/2020,Northern Ireland,Pillar 1,1,4849
22/06/2020,Scotland,Pillar 1,10,15798
22/06/2020,Wales,Pillar 1,Not available,Not available
22/06/2020,England,Pillar 2,611,79638
22/06/2020,Northern Ireland,Pillar 2,2,844
22/06/2020,Scotland,Pillar 2,2,2391
22/06/2020,Wales,Pillar 2,Not available,Not available
23/06/2020,England,Pillar 1,221,160012
23/06/2020,Northern Ireland,Pillar 1,4,4853
23/06/2020,Scotland,Pillar 1,8,15806
23/06/2020,Wales,Pillar 1,Not available,Not available
23/06/2020,England,Pillar 2,508,80146
23/06/2020,Northern Ireland,Pillar 2,3,847
23/06/2020,Scotland,Pillar 2,11,2402
23/06/2020,Wales,Pillar 2,Not available,Not available
24/06/2020,England,Pillar 1,178,160190
24/06/2020,Northern Ireland,Pillar 1,1,4854
24/06/2020,Scotland,Pillar 1,3,15809
24/06/2020,Wales,Pillar 1,Not available,Not available
24/06/2020,England,Pillar 2,550,80696
24/06/2020,Northern Ireland,Pillar 2,1,848
24/06/2020,Scotland,Pillar 2,5,2407
24/06/2020,Wales,Pillar 2,Not available,Not available
25/06/2020,England,Pillar 1,174,160364
25/06/2020,Northern Ireland,Pillar 1,4,4858
25/06/2020,Scotland,Pillar 1,8,15817
25/06/2020,Wales,Pillar 1,Not available,Not available
25/06/2020,England,Pillar 2,464,81160
25/06/2020,Northern Ireland,Pillar 2,1,849
25/06/2020,Scotland,Pillar 2,11,2418
25/06/2020,Wales,Pillar 2,Not available,Not available
26/06/2020,England,Pillar 1,174,160538
26/06/2020,Northern Ireland,Pillar 1,3,4861
26/06/2020,Scotland,Pillar 1,2,15819
26/06/2020,Wales,Pillar 1,Not available,Not available
26/06/2020,England,Pillar 2,468,81628
26/06/2020,Northern Ireland,Pillar 2,0,849
26/06/2020,Scotland,Pillar 2,4,2422
26/06/2020,Wales,Pillar 2,Not available,Not available
27/06/2020,England,Pillar 1,120,160658
27/06/2020,Northern Ireland,Pillar 1,1,4862
27/06/2020,Scotland,Pillar 1,2,15821
27/06/2020,Wales,Pillar 1,Not available,Not available
27/06/2020,England,Pillar 2,382,82010
27/06/2020,Northern Ireland,Pillar 2,3,852
27/06/2020,Scotland,Pillar 2,2,2424
27/06/2020,Wales,Pillar 2,Not available,Not available
28/06/2020,England,Pillar 1,90,160748
28/06/2020,Northern Ireland,Pillar 1,2,4864
28/06/2020,Scotland,Pillar 1,1,15822
28/06/2020,Wales,Pillar 1,Not available,Not available
28/06/2020,England,Pillar 2,319,82329
28/06/2020,Northern Ireland,Pillar 2,3,855
28/06/2020,Scotland,Pillar 2,2,2426
28/06/2020,Wales,Pillar 2,Not available,Not available
29/06/2020,England,Pillar 1,158,160906
29/06/2020,Northern Ireland,Pillar 1,2,4866
29/06/2020,Scotland,Pillar 1,9,15831
29/06/2020,Wales,Pillar 1,Not available,Not available
29/06/2020,England,Pillar 2,507,82836
29/06/2020,Northern Ireland,Pillar 2,1,856
29/06/2020,Scotland,Pillar 2,6,2432
29/06/2020,Wales,Pillar 2,Not available,Not available
30/06/2020,England,Pillar 1,135,161041
30/06/2020,Northern Ireland,Pillar 1,1,4867
30/06/2020,Scotland,Pillar 1,3,15834
30/06/2020,Wales,Pillar 1,Not available,Not available
30/06/2020,England,Pillar 2,435,83271
30/06/2020,Northern Ireland,Pillar 2,1,857
30/06/2020,Scotland,Pillar 2,5,2437
30/06/2020,Wales,Pillar 2,Not available,Not available
01/07/2020,England,Pillar 1,174,161215
01/07/2020,Northern Ireland,Pillar 1,2,4869
01/07/2020,Scotland,Pillar 1,4,15838
01/07/2020,Wales,Pillar 1,Not available,Not available
01/07/2020,England,Pillar 2,434,83705
01/07/2020,Northern Ireland,Pillar 2,5,862
01/07/2020,Scotland,Pillar 2,7,2444
01/07/2020,Wales,Pillar 2,Not available,Not available
02/07/2020,England,Pillar 1,161,161376
02/07/2020,Northern Ireland,Pillar 1,0,4869
02/07/2020,Scotland,Pillar 1,2,15840
02/07/2020,Wales,Pillar 1,Not available,Not available
02/07/2020,England,Pillar 2,396,84101
02/07/2020,Northern Ireland,Pillar 2,3,865
02/07/2020,Scotland,Pillar 2,11,2455
02/07/2020,Wales,Pillar 2,Not available,Not available
03/07/2020,England,Pillar 1,164,161540
03/07/2020,Northern Ireland,Pillar 1,3,4872
03/07/2020,Scotland,Pillar 1,2,15842
03/07/2020,Wales,Pillar 1,Not available,Not available
03/07/2020,England,Pillar 2,380,84481
03/07/2020,Northern Ireland,Pillar 2,4,869
03/07/2020,Scotland,Pillar 2,4,2459
03/07/2020,Wales,Pillar 2,Not available,Not available
04/07/2020,England,Pillar 1,87,161627
04/07/2020,Northern Ireland,Pillar 1,0,4872
04/07/2020,Scotland,Pillar 1,3,15845
04/07/2020,Wales,Pillar 1,Not available,Not available
04/07/2020,England,Pillar 2,299,84780
04/07/2020,Northern Ireland,Pillar 2,1,870
04/07/2020,Scotland,Pillar 2,2,2461
04/07/2020,Wales,Pillar 2,Not available,Not available
05/07/2020,England,Pillar 1,91,161718
05/07/2020,Northern Ireland,Pillar 1,2,4874
05/07/2020,Scotland,Pillar 1,2,15847
05/07/2020,Wales,Pillar 1,Not available,Not available
05/07/2020,England,Pillar 2,447,85227
05/07/2020,Northern Ireland,Pillar 2,0,870
05/07/2020,Scotland,Pillar 2,0,2461
05/07/2020,Wales,Pillar 2,Not available,Not available
06/07/2020,England,Pillar 1,160,161878
06/07/2020,Northern Ireland,Pillar 1,5,4879
06/07/2020,Scotland,Pillar 1,6,15853
06/07/2020,Wales,Pillar 1,Not available,Not available
06/07/2020,England,Pillar 2,492,85719
06/07/2020,Northern Ireland,Pillar 2,2,872
06/07/2020,Scotland,Pillar 2,2,2463
06/07/2020,Wales,Pillar 2,Not available,Not available
07/07/2020,England,Pillar 1,119,161997
07/07/2020,Northern Ireland,Pillar 1,3,4882
07/07/2020,Scotland,Pillar 1,1,15854
07/07/2020,Wales,Pillar 1,Not available,Not available
07/07/2020,England,Pillar 2,433,86152
07/07/2020,Northern Ireland,Pillar 2,2,874
07/07/2020,Scotland,Pillar 2,10,2473
07/07/2020,Wales,Pillar 2,Not available,Not available
08/07/2020,England,Pillar 1,158,162155
08/07/2020,Northern Ireland,Pillar 1,7,4889
08/07/2020,Scotland,Pillar 1,1,15855
08/07/2020,Wales,Pillar 1,Not available,Not available
08/07/2020,England,Pillar 2,503,86655
08/07/2020,Northern Ireland,Pillar 2,0,874
08/07/2020,Scotland,Pillar 2,10,2483
08/07/2020,Wales,Pillar 2,Not available,Not available
09/07/2020,England,Pillar 1,194,162349
09/07/2020,Northern Ireland,Pillar 1,0,4889
09/07/2020,Scotland,Pillar 1,0,15855
09/07/2020,Wales,Pillar 1,Not available,Not available
09/07/2020,England,Pillar 2,485,87140
09/07/2020,Northern Ireland,Pillar 2,4,878
09/07/2020,Scotland,Pillar 2,7,2490
09/07/2020,Wales,Pillar 2,Not available,Not available
10/07/2020,England,Pillar 1,112,162461
10/07/2020,Northern Ireland,Pillar 1,1,4890
10/07/2020,Scotland,Pillar 1,0,15855
10/07/2020,Wales,Pillar 1,Not available,Not available
10/07/2020,England,Pillar 2,408,87548
10/07/2020,Northern Ireland,Pillar 2,3,881
10/07/2020,Scotland,Pillar 2,12,2502
10/07/2020,Wales,Pillar 2,Not available,Not available
11/07/2020,England,Pillar 1,85,162546
11/07/2020,Northern Ireland,Pillar 1,1,4891
11/07/2020,Scotland,Pillar 1,5,15860
11/07/2020,Wales,Pillar 1,Not available,Not available
11/07/2020,England,Pillar 2,331,87879
11/07/2020,Northern Ireland,Pillar 2,4,885
11/07/2020,Scotland,Pillar 2,4,2506
11/07/2020,Wales,Pillar 2,Not available,Not available
12/07/2020,England,Pillar 1,59,162605
12/07/2020,Northern Ireland,Pillar 1,0,4891
12/07/2020,Scotland,Pillar 1,2,15862
12/07/2020,Wales,Pillar 1,Not available,Not available
12/07/2020,England,Pillar 2,283,88162
12/07/2020,Northern Ireland,Pillar 2,4,889
12/07/2020,Scotland,Pillar 2,1,2507
12/07/2020,Wales,Pillar 2,Not available,Not available
13/07/2020,England,Pillar 1,145,162750
13/07/2020,Northern Ireland,Pillar 1,0,4891
13/07/2020,Scotland,Pillar 1,6,15868
13/07/2020,Wales,Pillar 1,Not available,Not available
13/07/2020,England,Pillar 2,534,88696
13/07/2020,Northern Ireland,Pillar 2,3,892
13/07/2020,Scotland,Pillar 2,11,2518
13/07/2020,Wales,Pillar 2,Not available,Not available
14/07/2020,England,Pillar 1,123,162873
14/07/2020,Northern Ireland,Pillar 1,0,4891
14/07/2020,Scotland,Pillar 1,1,15869
14/07/2020,Wales,Pillar 1,Not available,Not available
14/07/2020,England,Pillar 2,510,89206
14/07/2020,Northern Ireland,Pillar 2,9,901
14/07/2020,Scotland,Pillar 2,9,2527
14/07/2020,Wales,Pillar 2,Not available,Not available
15/07/2020,England,Pillar 1,162,163035
15/07/2020,Northern Ireland,Pillar 1,1,4892
15/07/2020,Scotland,Pillar 1,1,15870
15/07/2020,Wales,Pillar 1,Not available,Not available
15/07/2020,England,Pillar 2,545,89751
15/07/2020,Northern Ireland,Pillar 2,17,918
15/07/2020,Scotland,Pillar 2,15,2542
15/07/2020,Wales,Pillar 2,Not available,Not available
16/07/2020,England,Pillar 1,104,163139
16/07/2020,Northern Ireland,Pillar 1,4,4896
16/07/2020,Scotland,Pillar 1,1,15871
16/07/2020,Wales,Pillar 1,Not available,Not available
16/07/2020,England,Pillar 2,503,90254
16/07/2020,Northern Ireland,Pillar 2,20,938
16/07/2020,Scotland,Pillar 2,20,2562
16/07/2020,Wales,Pillar 2,Not available,Not available
17/07/2020,England,Pillar 1,75,163214
17/07/2020,Northern Ireland,Pillar 1,0,4896
17/07/2020,Scotland,Pillar 1,3,15874
17/07/2020,Wales,Pillar 1,Not available,Not available
17/07/2020,England,Pillar 2,406,90660
17/07/2020,Northern Ireland,Pillar 2,9,947
17/07/2020,Scotland,Pillar 2,5,2567
17/07/2020,Wales,Pillar 2,Not available,Not available
18/07/2020,England,Pillar 1,40,163254
18/07/2020,Northern Ireland,Pillar 1,1,4897
18/07/2020,Scotland,Pillar 1,3,15877
18/07/2020,Wales,Pillar 1,Not available,Not available
18/07/2020,England,Pillar 2,347,91007
18/07/2020,Northern Ireland,Pillar 2,6,953
18/07/2020,Scotland,Pillar 2,11,2578
18/07/2020,Wales,Pillar 2,Not available,Not available
19/07/2020,England,Pillar 1,34,163288
19/07/2020,Northern Ireland,Pillar 1,2,4899
19/07/2020,Scotland,Pillar 1,3,15880
19/07/2020,Wales,Pillar 1,Not available,Not available
19/07/2020,England,Pillar 2,263,91270
19/07/2020,Northern Ireland,Pillar 2,2,955
19/07/2020,Scotland,Pillar 2,14,2592
19/07/2020,Wales,Pillar 2,Not available,Not available
20/07/2020,England,Pillar 1,54,163342
20/07/2020,Northern Ireland,Pillar 1,3,4902
20/07/2020,Scotland,Pillar 1,0,15880
20/07/2020,Wales,Pillar 1,Not available,Not available
20/07/2020,England,Pillar 2,355,91625
20/07/2020,Northern Ireland,Pillar 2,2,957
20/07/2020,Scotland,Pillar 2,11,2603
20/07/2020,Wales,Pillar 2,Not available,Not available
21/07/2020,England,Pillar 1,8,163350
21/07/2020,Northern Ireland,Pillar 1,2,4904
21/07/2020,Scotland,Pillar 1,0,15880
21/07/2020,Wales,Pillar 1,Not available,Not available
21/07/2020,England,Pillar 2,63,91688
21/07/2020,Northern Ireland,Pillar 2,7,964
21/07/2020,Scotland,Pillar 2,1,2604
21/07/2020,Wales,Pillar 2,Not available,Not available